NAMEUNIT,id,total_2019
A Coruña,15,1705
Alacant/Alicante,3,586.6
Albacete,2,476.00000000000006
Almería,4,280.29999999999995
Araba/Álava,1,990.2
Asturias,33,1599.8000000000002
Ávila,5,541.8
Badajoz,6,346.3
Barcelona,8,545.8
Bizkaia,46,1470.3
Burgos,9,738.6999999999999
Cáceres,10,506.59999999999997
Cádiz,11,380.79999999999995
Cantabria,37,1602.8999999999999
Castelló/Castellón,12,416.79999999999995
Ciudad Real,13,402.1
Córdoba,14,437.4
Cuenca,16,454.69999999999993
Gipuzkoa,20,1643.1000000000001
Girona,17,634.4
Granada,18,399.8999999999999
Guadalajara,19,481.7
Huelva,21,385.79999999999995
Huesca,22,710.8000000000001
Illes Balears,7,461.1
Jaén,23,549.3000000000001
La Rioja,26,594.3
León,24,961.4999999999999
Lleida,25,633.9000000000001
Lugo,27,1431.2
Madrid,28,439.40000000000003
Málaga,29,384.29999999999995
Murcia,30,421.40000000000003
Navarra,31,1069.3
Ourense,32,1288
Palencia,34,595.4
Pontevedra,35,1796
Salamanca,36,566.9
Segovia,38,471.5
Sevilla,39,353.70000000000005
Soria,40,565.3
Tarragona,41,391.5
Teruel,42,405.2
Toledo,43,348
València/Valencia,44,501.6
Valladolid,45,377.29999999999995
Zamora,47,559.5999999999999
Zaragoza,48,380.09999999999997
