mes,precipitaciones,id,NAMEUNIT
2021-01-15,240.5,15,A Coruña
2021-02-15,293.4,15,A Coruña
2021-03-15,31,15,A Coruña
2021-04-15,80.6,15,A Coruña
2021-05-15,149.5,15,A Coruña
2021-06-15,108.9,15,A Coruña
2021-07-15,44.6,15,A Coruña
2021-08-15,21.8,15,A Coruña
2021-09-15,96.5,15,A Coruña
2021-10-15,154.5,15,A Coruña
2021-11-15,100.8,15,A Coruña
2021-12-15,214.8,15,A Coruña
2021-01-15,68.1,2,Albacete
2021-02-15,28,2,Albacete
2021-03-15,26.2,2,Albacete
2021-04-15,65.3,2,Albacete
2021-05-15,25.4,2,Albacete
2021-06-15,50,2,Albacete
2021-07-15,2,2,Albacete
2021-08-15,34.5,2,Albacete
2021-09-15,48,2,Albacete
2021-10-15,44.8,2,Albacete
2021-11-15,33.1,2,Albacete
2021-12-15,14.1,2,Albacete
2021-01-15,49.2,3,Alacant/Alicante
2021-02-15,3.7,3,Alacant/Alicante
2021-03-15,63.2,3,Alacant/Alicante
2021-04-15,85.8,3,Alacant/Alicante
2021-05-15,57.2,3,Alacant/Alicante
2021-06-15,20,3,Alacant/Alicante
2021-07-15,9.2,3,Alacant/Alicante
2021-08-15,5,3,Alacant/Alicante
2021-09-15,44,3,Alacant/Alicante
2021-10-15,41.1,3,Alacant/Alicante
2021-11-15,47.4,3,Alacant/Alicante
2021-12-15,1.8,3,Alacant/Alicante
2021-01-15,56.3,4,Almería
2021-02-15,5.2,4,Almería
2021-03-15,35.8,4,Almería
2021-04-15,43.1,4,Almería
2021-05-15,38.8,4,Almería
2021-06-15,16.9,4,Almería
2021-07-15,10.2,4,Almería
2021-08-15,1.9,4,Almería
2021-09-15,17.4,4,Almería
2021-10-15,27.3,4,Almería
2021-11-15,32.6,4,Almería
2021-12-15,3.2,4,Almería
2021-01-15,96.8,1,Araba/Álava
2021-02-15,79.9,1,Araba/Álava
2021-03-15,38,1,Araba/Álava
2021-04-15,52,1,Araba/Álava
2021-05-15,37.7,1,Araba/Álava
2021-06-15,107.8,1,Araba/Álava
2021-07-15,8.5,1,Araba/Álava
2021-08-15,17.7,1,Araba/Álava
2021-09-15,63.3,1,Araba/Álava
2021-10-15,38.5,1,Araba/Álava
2021-11-15,212.2,1,Araba/Álava
2021-12-15,197.3,1,Araba/Álava
2021-01-15,196.9,33,Asturias
2021-02-15,138.4,33,Asturias
2021-03-15,34.4,33,Asturias
2021-04-15,73.1,33,Asturias
2021-05-15,67.4,33,Asturias
2021-06-15,131.2,33,Asturias
2021-07-15,22.5,33,Asturias
2021-08-15,19.2,33,Asturias
2021-09-15,90.3,33,Asturias
2021-10-15,74.2,33,Asturias
2021-11-15,309.8,33,Asturias
2021-12-15,205.3,33,Asturias
2021-01-15,67.6,5,Ávila
2021-02-15,104.5,5,Ávila
2021-03-15,5.6,5,Ávila
2021-04-15,83.4,5,Ávila
2021-05-15,25.7,5,Ávila
2021-06-15,44.4,5,Ávila
2021-07-15,5.5,5,Ávila
2021-08-15,14.2,5,Ávila
2021-09-15,97.9,5,Ávila
2021-10-15,91.7,5,Ávila
2021-11-15,33.9,5,Ávila
2021-12-15,47.5,5,Ávila
2021-01-15,62.2,6,Badajoz
2021-02-15,78.5,6,Badajoz
2021-03-15,7.7,6,Badajoz
2021-04-15,61.3,6,Badajoz
2021-05-15,13,6,Badajoz
2021-06-15,29.6,6,Badajoz
2021-07-15,0,6,Badajoz
2021-08-15,2.7,6,Badajoz
2021-09-15,80.5,6,Badajoz
2021-10-15,77.6,6,Badajoz
2021-11-15,10.2,6,Badajoz
2021-12-15,59.3,6,Badajoz
2021-01-15,81.2,7,Illes Balears
2021-02-15,5.3,7,Illes Balears
2021-03-15,53.9,7,Illes Balears
2021-04-15,22,7,Illes Balears
2021-05-15,54.4,7,Illes Balears
2021-06-15,28.5,7,Illes Balears
2021-07-15,8.8,7,Illes Balears
2021-08-15,10,7,Illes Balears
2021-09-15,73.2,7,Illes Balears
2021-10-15,55.6,7,Illes Balears
2021-11-15,229.9,7,Illes Balears
2021-12-15,18.1,7,Illes Balears
2021-01-15,26.8,8,Barcelona
2021-02-15,28.4,8,Barcelona
2021-03-15,16.4,8,Barcelona
2021-04-15,72.2,8,Barcelona
2021-05-15,26,8,Barcelona
2021-06-15,42.3,8,Barcelona
2021-07-15,18.7,8,Barcelona
2021-08-15,25.7,8,Barcelona
2021-09-15,76,8,Barcelona
2021-10-15,40.6,8,Barcelona
2021-11-15,72.8,8,Barcelona
2021-12-15,2.2,8,Barcelona
2021-01-15,175.7,46,Bizkaia
2021-02-15,111.5,46,Bizkaia
2021-03-15,52.3,46,Bizkaia
2021-04-15,57.5,46,Bizkaia
2021-05-15,49.1,46,Bizkaia
2021-06-15,124.8,46,Bizkaia
2021-07-15,37.9,46,Bizkaia
2021-08-15,26.4,46,Bizkaia
2021-09-15,98,46,Bizkaia
2021-10-15,53.9,46,Bizkaia
2021-11-15,371.4,46,Bizkaia
2021-12-15,282.1,46,Bizkaia
2021-01-15,75.8,9,Burgos
2021-02-15,90.1,9,Burgos
2021-03-15,17.2,9,Burgos
2021-04-15,54.2,9,Burgos
2021-05-15,46,9,Burgos
2021-06-15,75.5,9,Burgos
2021-07-15,5.8,9,Burgos
2021-08-15,17.6,9,Burgos
2021-09-15,48.4,9,Burgos
2021-10-15,48.7,9,Burgos
2021-11-15,112.3,9,Burgos
2021-12-15,88.1,9,Burgos
2021-01-15,70.5,10,Cáceres
2021-02-15,117.3,10,Cáceres
2021-03-15,4.3,10,Cáceres
2021-04-15,95.1,10,Cáceres
2021-05-15,19.5,10,Cáceres
2021-06-15,36.2,10,Cáceres
2021-07-15,0.2,10,Cáceres
2021-08-15,4.9,10,Cáceres
2021-09-15,98.5,10,Cáceres
2021-10-15,130.9,10,Cáceres
2021-11-15,7.1,10,Cáceres
2021-12-15,75.8,10,Cáceres
2021-01-15,148.5,11,Cádiz
2021-02-15,75.4,11,Cádiz
2021-03-15,65,11,Cádiz
2021-04-15,35.5,11,Cádiz
2021-05-15,7.5,11,Cádiz
2021-06-15,12.3,11,Cádiz
2021-07-15,0,11,Cádiz
2021-08-15,0.1,11,Cádiz
2021-09-15,30.8,11,Cádiz
2021-10-15,24.8,11,Cádiz
2021-11-15,44.5,11,Cádiz
2021-12-15,135.1,11,Cádiz
2021-01-15,180.7,37,Cantabria
2021-02-15,112.8,37,Cantabria
2021-03-15,56,37,Cantabria
2021-04-15,60.3,37,Cantabria
2021-05-15,60.2,37,Cantabria
2021-06-15,122.9,37,Cantabria
2021-07-15,43.2,37,Cantabria
2021-08-15,30.3,37,Cantabria
2021-09-15,105.1,37,Cantabria
2021-10-15,47.1,37,Cantabria
2021-11-15,384.6,37,Cantabria
2021-12-15,246.6,37,Cantabria
2021-01-15,56.6,12,Castelló/Castellón
2021-02-15,21.6,12,Castelló/Castellón
2021-03-15,30.6,12,Castelló/Castellón
2021-04-15,97.3,12,Castelló/Castellón
2021-05-15,31.7,12,Castelló/Castellón
2021-06-15,46.1,12,Castelló/Castellón
