periodo de referencia,id,NAMEUNIT,meses,precipitaciones
1981-2010,15,A Coruña,enero,191.5
1981-2010,15,A Coruña,febrero,147
1981-2010,15,A Coruña,marzo,133.6
1981-2010,15,A Coruña,abril,139
1981-2010,15,A Coruña,mayo,117.5
1981-2010,15,A Coruña,junio,62.6
1981-2010,15,A Coruña,julio,45.4
1981-2010,15,A Coruña,agosto,49.8
1981-2010,15,A Coruña,septiembre,92
1981-2010,15,A Coruña,octubre,200.2
1981-2010,15,A Coruña,noviembre,209.9
1981-2010,15,A Coruña,diciembre,218.8
1981-2010,15,A Coruña,anual,1607.3
1981-2010,2,Albacete,enero,32.2
1981-2010,2,Albacete,febrero,35.5
1981-2010,2,Albacete,marzo,35.3
1981-2010,2,Albacete,abril,46.9
1981-2010,2,Albacete,mayo,46.3
1981-2010,2,Albacete,junio,29
1981-2010,2,Albacete,julio,8.4
1981-2010,2,Albacete,agosto,13.9
1981-2010,2,Albacete,septiembre,36
1981-2010,2,Albacete,octubre,48.8
1981-2010,2,Albacete,noviembre,46.4
1981-2010,2,Albacete,diciembre,45.4
1981-2010,2,Albacete,anual,424.1
1981-2010,3,Alacant/Alicante,enero,35.9
1981-2010,3,Alacant/Alicante,febrero,35.5
1981-2010,3,Alacant/Alicante,marzo,33.7
1981-2010,3,Alacant/Alicante,abril,38.7
1981-2010,3,Alacant/Alicante,mayo,40.8
1981-2010,3,Alacant/Alicante,junio,18.9
1981-2010,3,Alacant/Alicante,julio,5.7
1981-2010,3,Alacant/Alicante,agosto,11.4
1981-2010,3,Alacant/Alicante,septiembre,54.6
1981-2010,3,Alacant/Alicante,octubre,56
1981-2010,3,Alacant/Alicante,noviembre,51.2
1981-2010,3,Alacant/Alicante,diciembre,38.5
1981-2010,3,Alacant/Alicante,anual,420.9
1981-2010,4,Almería,enero,34.7
1981-2010,4,Almería,febrero,34.9
1981-2010,4,Almería,marzo,30.7
1981-2010,4,Almería,abril,26.2
1981-2010,4,Almería,mayo,26.4
1981-2010,4,Almería,junio,10.6
1981-2010,4,Almería,julio,1.9
1981-2010,4,Almería,agosto,5.6
1981-2010,4,Almería,septiembre,27.7
1981-2010,4,Almería,octubre,36.2
1981-2010,4,Almería,noviembre,42.6
1981-2010,4,Almería,diciembre,37.9
1981-2010,4,Almería,anual,315.4
1981-2010,1,Araba/Álava,enero,88.5
1981-2010,1,Araba/Álava,febrero,72
1981-2010,1,Araba/Álava,marzo,73
1981-2010,1,Araba/Álava,abril,88.4
1981-2010,1,Araba/Álava,mayo,77.2
1981-2010,1,Araba/Álava,junio,49.8
1981-2010,1,Araba/Álava,julio,36.5
1981-2010,1,Araba/Álava,agosto,38.2
1981-2010,1,Araba/Álava,septiembre,50.1
1981-2010,1,Araba/Álava,octubre,79
1981-2010,1,Araba/Álava,noviembre,104.8
1981-2010,1,Araba/Álava,diciembre,96.2
1981-2010,1,Araba/Álava,anual,853.7
1981-2010,33,Asturias,enero,118.2
1981-2010,33,Asturias,febrero,107.3
1981-2010,33,Asturias,marzo,102.2
1981-2010,33,Asturias,abril,122.2
1981-2010,33,Asturias,mayo,99.7
1981-2010,33,Asturias,junio,65.1
1981-2010,33,Asturias,julio,47.3
1981-2010,33,Asturias,agosto,56.2
1981-2010,33,Asturias,septiembre,74
1981-2010,33,Asturias,octubre,127.8
1981-2010,33,Asturias,noviembre,150.8
1981-2010,33,Asturias,diciembre,139.4
1981-2010,33,Asturias,anual,1210.2
