region,mes,precipitaciones
15,2020-01-15,230.2
15,2020-02-15,94
15,2020-03-15,147.5
15,2020-04-15,155.2
15,2020-05-15,45.7
15,2020-06-15,64.9
15,2020-07-15,3.7
15,2020-08-15,117.8
15,2020-09-15,63.9
15,2020-10-15,203.3
15,2020-11-15,133.8
15,2020-12-15,373.5
2,2020-01-15,57.5
2,2020-02-15,1.3
2,2020-03-15,113.6
2,2020-04-15,60.7
2,2020-05-15,54.1
2,2020-06-15,10.5
2,2020-07-15,16.9
2,2020-08-15,9.3
2,2020-09-15,15.2
2,2020-10-15,19.5
2,2020-11-15,74.1
2,2020-12-15,34.7
3,2020-01-15,141.2
3,2020-02-15,2.2
3,2020-03-15,95.9
3,2020-04-15,54.4
3,2020-05-15,35.2
3,2020-06-15,23.6
3,2020-07-15,2.5
3,2020-08-15,17.3
3,2020-09-15,9
3,2020-10-15,5.1
3,2020-11-15,39.6
3,2020-12-15,4.5
4,2020-01-15,43.9
4,2020-02-15,0.6
4,2020-03-15,68.9
4,2020-04-15,34.3
4,2020-05-15,14.5
4,2020-06-15,2.2
4,2020-07-15,2.9
4,2020-08-15,0.6
4,2020-09-15,17.4
4,2020-10-15,7.4
4,2020-11-15,36.8
4,2020-12-15,1.5
1,2020-01-15,46.9
1,2020-02-15,12.2
1,2020-03-15,113.9
1,2020-04-15,75.1
1,2020-05-15,67.5
1,2020-06-15,63.4
1,2020-07-15,12.4
1,2020-08-15,38.9
1,2020-09-15,75.2
1,2020-10-15,129.4
1,2020-11-15,34
1,2020-12-15,188.9
33,2020-01-15,71.2
33,2020-02-15,30.1
33,2020-03-15,129
33,2020-04-15,91.4
33,2020-05-15,68.1
33,2020-06-15,75.6
33,2020-07-15,16.8
33,2020-08-15,110
33,2020-09-15,73.7
33,2020-10-15,197.5
33,2020-11-15,34.7
33,2020-12-15,339.2
5,2020-01-15,39.7
5,2020-02-15,2.5
5,2020-03-15,64
5,2020-04-15,108
5,2020-05-15,42.2
5,2020-06-15,11.4
5,2020-07-15,6.2
5,2020-08-15,15.2
5,2020-09-15,72.8
5,2020-10-15,123.3
5,2020-11-15,117.6
5,2020-12-15,59.3
6,2020-01-15,38.6
6,2020-02-15,1.9
6,2020-03-15,66.1
6,2020-04-15,84.5
6,2020-05-15,41.4
6,2020-06-15,0.6
6,2020-07-15,4.8
6,2020-08-15,5.2
6,2020-09-15,22.1
6,2020-10-15,73.1
6,2020-11-15,87.6
6,2020-12-15,51.8
7,2020-01-15,125.4
7,2020-02-15,0.3
7,2020-03-15,40.7
7,2020-04-15,107.8
7,2020-05-15,21.8
7,2020-06-15,34
7,2020-07-15,2.9
7,2020-08-15,22.4
7,2020-09-15,64.7
7,2020-10-15,46.7
7,2020-11-15,29.6
7,2020-12-15,39.9
8,2020-01-15,153.9
8,2020-02-15,1.7
8,2020-03-15,55.3
8,2020-04-15,139
8,2020-05-15,72
8,2020-06-15,113.6
8,2020-07-15,43.1
8,2020-08-15,70.4
8,2020-09-15,52.3
8,2020-10-15,39
8,2020-11-15,72.4
8,2020-12-15,24.4
46,2020-01-15,44.3
46,2020-02-15,43.5
46,2020-03-15,165.1
46,2020-04-15,67.8
46,2020-05-15,69.8
46,2020-06-15,94.5
46,2020-07-15,31
46,2020-08-15,66.4
46,2020-09-15,105.7
46,2020-10-15,224
46,2020-11-15,46.8
46,2020-12-15,395.4
9,2020-01-15,37.7
9,2020-02-15,8.7
9,2020-03-15,64.9
9,2020-04-15,106
9,2020-05-15,47.8
9,2020-06-15,56.8
9,2020-07-15,22.7
9,2020-08-15,30.7
9,2020-09-15,66.5
9,2020-10-15,106.7
9,2020-11-15,21.4
9,2020-12-15,98.3
10,2020-01-15,62.1
10,2020-02-15,3.7
10,2020-03-15,86.8
10,2020-04-15,118.2
10,2020-05-15,51.5
10,2020-06-15,2.7
10,2020-07-15,6.4
10,2020-08-15,2
10,2020-09-15,45.8
10,2020-10-15,126.4
10,2020-11-15,129.4
10,2020-12-15,58.2
11,2020-01-15,102.6
11,2020-02-15,3.8
11,2020-03-15,102.4
11,2020-04-15,76
11,2020-05-15,64.6
11,2020-06-15,13.5
11,2020-07-15,0.2
11,2020-08-15,0.5
11,2020-09-15,4.7
11,2020-10-15,63.1
11,2020-11-15,97.8
11,2020-12-15,72.8
37,2020-01-15,46.4
37,2020-02-15,27.5
37,2020-03-15,123.6
37,2020-04-15,115.7
37,2020-05-15,51.9
37,2020-06-15,85.3
37,2020-07-15,31
37,2020-08-15,89.5
37,2020-09-15,84.3
37,2020-10-15,233.1
37,2020-11-15,34.9
37,2020-12-15,316.1
12,2020-01-15,166.5
12,2020-02-15,0.4
12,2020-03-15,206.5
12,2020-04-15,107.3
12,2020-05-15,56.2
12,2020-06-15,50.2
12,2020-07-15,10.2
12,2020-08-15,14.1
12,2020-09-15,24.5
12,2020-10-15,8.9
12,2020-11-15,161.3
12,2020-12-15,12
13,2020-01-15,24.5
13,2020-02-15,2.1
13,2020-03-15,67.4
13,2020-04-15,64.9
13,2020-05-15,45.2
13,2020-06-15,3.4
13,2020-07-15,5.9
13,2020-08-15,17.1
13,2020-09-15,18.6
13,2020-10-15,32.1
13,2020-11-15,58
13,2020-12-15,44.1
14,2020-01-15,45.9
14,2020-02-15,1.9
14,2020-03-15,64.5
14,2020-04-15,90.8
14,2020-05-15,38.3
14,2020-06-15,2.1
14,2020-07-15,1.2
14,2020-08-15,13
14,2020-09-15,18
14,2020-10-15,50.6
14,2020-11-15,97.9
14,2020-12-15,45.5
16,2020-01-15,38.9
16,2020-02-15,1.6
16,2020-03-15,113.1
16,2020-04-15,57.6
16,2020-05-15,56.6
16,2020-06-15,23
16,2020-07-15,25.7
16,2020-08-15,26.1
16,2020-09-15,23.6
