region,15/01/2010,15/02/2010,15/03/2010,15/04/2010,15/05/2010,15/06/2010,15/07/2010,15/08/2010,15/09/2010,15/10/2010,15/11/2010,15/12/2010
15,191.5,147,133.6,139,117.5,62.6,45.4,49.8,92,200.2,209.9,218.8
2,32.2,35.5,35.3,46.9,46.3,29,8.4,13.9,36,48.8,46.4,45.4
3,35.9,35.5,33.7,38.7,40.8,18.9,5.7,11.4,54.6,56,51.2,38.5
4,34.7,34.9,30.7,26.2,26.4,10.6,1.9,5.6,27.7,36.2,42.6,37.9
1,88.5,72,73,88.4,77.2,49.8,36.5,38.2,50.1,79,104.8,96.2
33,118.2,107.3,102.2,122.2,99.7,65.1,47.3,56.2,74,127.8,150.8,139.4
5,64.9,48.5,42.8,65.9,67.2,31.8,13.7,16.7,38.2,86.5,86.2,91.3
6,59.1,49.6,36.2,54.9,43,19.9,4.4,6,29.8,68,73.9,80.6
7,53.2,46.4,38,45.3,39.6,13.9,6.8,21.8,66.1,80.5,83.4,70
8,43.7,34.3,39.6,55.8,69.5,51.2,33.1,60.4,75.1,79.4,59.4,47.7
46,137.3,111.4,112.4,124.1,94.8,64,53.9,72.9,82.3,124.6,163.1,142.4
9,58.8,47.5,45.5,67.8,66.8,44.2,27.7,26,38.8,66.4,72.5,74.2
10,78.5,61.4,47.7,64.2,58.1,22.2,6.3,8,37.4,94.9,102.1,109.3
11,106,87.6,58.3,64.3,37.2,10.1,0.8,5.3,30.4,85.7,121.7,154.5
37,125.7,105,107,115,97.8,62.6,49.2,61.7,74.7,111.3,153,130.4
12,43.3,38.4,35.4,58.1,60.1,34.6,18,34.9,64.5,78.4,59.1,49.2
13,46.2,40.1,33.1,56.7,46.3,24,5.2,7.7,28.3,59.7,57.3,71.3
14,66.9,55.3,46,62,43.4,15.4,4.3,7,30.1,73.2,84.8,101.1
16,42.9,40.9,36.4,58.2,55.9,36.9,11,17.1,37,61.6,56,61.5
20,154.1,125.5,130.9,145.2,115.7,79.9,66.9,86.2,94.6,140.3,178.8,161.4
17,62.6,50.9,53.9,73.7,86.1,64.7,42.4,60.9,75.4,98.1,75.2,65.8
18,52.4,49.7,40.2,44,38.4,17.3,3.6,7.7,27.4,46.7,65.8,72.2
19,43,37.8,33.7,62.8,67.1,40.2,18.3,18.3,37.4,65.2,59.8,59.9
21,83.3,61.6,47.7,67,40.7,13.9,3.1,7.1,33.6,87.5,101.3,126.6
22,48.7,37.4,41.3,75.5,76.8,53.7,37.5,46.1,68.8,83,73.6,65.8
23,62.3,59.1,49.8,66.3,50.5,22,4.3,8.5,33,63.2,76.5,91.3
26,43.5,36,37.8,62.3,68.9,48.7,31.7,27.5,33.5,52.2,55.4,53.3
24,83.2,65.9,61.4,72.3,74.2,42.7,25.3,27.8,52.7,100.3,101.4,109.2
25,37.6,25.1,33.4,61.6,69.4,52.8,33.9,51.3,62.5,65.7,58,46.6
27,130.1,106.3,93.5,111,92.8,54.3,36.1,40,72.7,146,151.3,159.3
28,45.3,40.2,32,53,57.2,28.1,11.6,12.8,29,67.3,68.5,66.2
29,86.5,74.4,57.7,57.3,34.2,9.3,1,6.6,30.7,74.9,108.8,123.6
30,25.4,28.9,29.6,29.3,33.1,18.7,4.2,11,34.8,38.5,36.7,26.4
31,85.8,73.8,74.4,98.7,79.4,54.5,38.9,42.7,61.3,89,103.8,99.7
32,127.7,98.4,87.2,99.9,87.7,45.2,25.8,31.1,66.9,146.4,145.1,167.9
34,54.3,40.9,35.8,58.5,61.7,38.1,21.9,23.8,40.7,68.9,66.3,71.2
35,191,148.9,128.4,139.1,117.5,58.9,36,43.5,93.8,212,217.2,241
36,60.5,45.8,39.4,59.2,64.1,28.6,13,14.2,42.1,80.4,75.5,80.2
38,45,37.3,31.4,54.7,63.6,35.2,17,19.2,30.1,61.1,55.7,55.9
39,73.4,57.9,43.9,58.4,38.6,11.1,2,6.1,26.8,75.6,93.6,111.5
40,42.9,37.1,33.3,60.8,69.7,42.9,25.7,25.5,35.8,59.8,54.1,55.5
41,36.4,29.3,32.6,49.2,58.5,30.7,14.1,32.6,61.8,78.1,52.9,43.6
42,28,25.3,27.4,47.9,63.2,45.8,23.4,36.6,41.7,49.6,37.1,31.9
43,41.5,36.9,29.6,50.8,48.8,24.9,6.9,10,25.5,60.8,56.1,64.2
44,44.7,39.7,35.9,50.3,48.2,27.3,11.2,19.5,60.9,72.4,58.7,51.4
45,37.1,27.3,22.9,44.1,51.9,29.4,14.5,16.6,29.5,53.2,48.4,51.5
47,60.4,45,40.2,56.4,60.1,30.4,15.2,17.3,39.5,78.7,73.1,85.1
48,25.7,25.1,23.3,47.8,53.1,33.7,20.2,21.9,36.6,44.9,37.5,31.4
