region,mes,precipitaciones
15,2010-01-15,191.5
15,2010-02-15,147
15,2010-03-15,133.6
15,2010-04-15,139
15,2010-05-15,117.5
15,2010-06-15,62.6
15,2010-07-15,45.4
15,2010-08-15,49.8
15,2010-09-15,92
15,2010-10-15,200.2
15,2010-11-15,209.9
15,2010-12-15,218.8
2,2010-01-15,32.2
2,2010-02-15,35.5
2,2010-03-15,35.3
2,2010-04-15,46.9
2,2010-05-15,46.3
2,2010-06-15,29
2,2010-07-15,8.4
2,2010-08-15,13.9
2,2010-09-15,36
2,2010-10-15,48.8
2,2010-11-15,46.4
2,2010-12-15,45.4
3,2010-01-15,35.9
3,2010-02-15,35.5
3,2010-03-15,33.7
3,2010-04-15,38.7
3,2010-05-15,40.8
3,2010-06-15,18.9
3,2010-07-15,5.7
3,2010-08-15,11.4
3,2010-09-15,54.6
3,2010-10-15,56
3,2010-11-15,51.2
3,2010-12-15,38.5
4,2010-01-15,34.7
4,2010-02-15,34.9
4,2010-03-15,30.7
4,2010-04-15,26.2
4,2010-05-15,26.4
4,2010-06-15,10.6
4,2010-07-15,1.9
4,2010-08-15,5.6
4,2010-09-15,27.7
4,2010-10-15,36.2
4,2010-11-15,42.6
4,2010-12-15,37.9
1,2010-01-15,88.5
1,2010-02-15,72
1,2010-03-15,73
1,2010-04-15,88.4
1,2010-05-15,77.2
1,2010-06-15,49.8
1,2010-07-15,36.5
1,2010-08-15,38.2
1,2010-09-15,50.1
1,2010-10-15,79
1,2010-11-15,104.8
1,2010-12-15,96.2
33,2010-01-15,118.2
33,2010-02-15,107.3
33,2010-03-15,102.2
33,2010-04-15,122.2
33,2010-05-15,99.7
33,2010-06-15,65.1
33,2010-07-15,47.3
33,2010-08-15,56.2
33,2010-09-15,74
33,2010-10-15,127.8
33,2010-11-15,150.8
33,2010-12-15,139.4
5,2010-01-15,64.9
5,2010-02-15,48.5
5,2010-03-15,42.8
5,2010-04-15,65.9
5,2010-05-15,67.2
5,2010-06-15,31.8
5,2010-07-15,13.7
5,2010-08-15,16.7
5,2010-09-15,38.2
5,2010-10-15,86.5
5,2010-11-15,86.2
5,2010-12-15,91.3
6,2010-01-15,59.1
6,2010-02-15,49.6
6,2010-03-15,36.2
6,2010-04-15,54.9
6,2010-05-15,43
6,2010-06-15,19.9
6,2010-07-15,4.4
